adm1,year,name,value
Borno,2021,smc4_num,2045143
Cross River,2013,smc1_num,0
Cross River,2013,smc2_num,0
Cross River,2013,smc3_num,0
Cross River,2013,smc4_num,0
Cross River,2014,smc1_num,0
Cross River,2014,smc2_num,0
Cross River,2014,smc3_num,0
Cross River,2014,smc4_num,0
Cross River,2015,smc1_num,0
Cross River,2015,smc2_num,0
Cross River,2015,smc3_num,0
Cross River,2015,smc4_num,0
Cross River,2016,smc1_num,0
Cross River,2016,smc2_num,0
Cross River,2016,smc3_num,0
Cross River,2016,smc4_num,0
Cross River,2017,smc1_num,0
Cross River,2017,smc2_num,0
Cross River,2017,smc3_num,0
Cross River,2017,smc4_num,0
Cross River,2018,smc1_num,0
Cross River,2018,smc2_num,0
Cross River,2018,smc3_num,0
Cross River,2018,smc4_num,0
Cross River,2019,smc1_num,0
Cross River,2019,smc2_num,0
Cross River,2019,smc3_num,0
Cross River,2019,smc4_num,0
Delta,2013,smc1_num,0
Delta,2013,smc2_num,0
Delta,2013,smc3_num,0
Delta,2013,smc4_num,0
Delta,2014,smc1_num,0
Delta,2014,smc2_num,0
Delta,2014,smc3_num,0
Delta,2014,smc4_num,0
Delta,2015,smc1_num,0
Delta,2015,smc2_num,0
Delta,2015,smc3_num,0
Delta,2015,smc4_num,0
Delta,2016,smc1_num,0
Delta,2016,smc2_num,0
Delta,2016,smc3_num,0
Delta,2016,smc4_num,0
Delta,2017,smc1_num,0
Delta,2017,smc2_num,0
Delta,2017,smc3_num,0
Delta,2017,smc4_num,0
Delta,2018,smc1_num,0
Delta,2018,smc2_num,0
Delta,2018,smc3_num,0
Delta,2018,smc4_num,0
Delta,2019,smc1_num,0
Delta,2019,smc2_num,0
Delta,2019,smc3_num,0
Delta,2019,smc4_num,0
Ebonyi,2013,smc1_num,0
Ebonyi,2013,smc2_num,0
Ebonyi,2013,smc3_num,0
Ebonyi,2013,smc4_num,0
Ebonyi,2014,smc1_num,0
Ebonyi,2014,smc2_num,0
Ebonyi,2014,smc3_num,0
Ebonyi,2014,smc4_num,0
Ebonyi,2015,smc1_num,0
Ebonyi,2015,smc2_num,0
